category,Relevant by ASReview LAB,Random relevant
1,1,0
2,2,0
3,3,0
4,4,0
5,4,0
6,5,0
7,6,0
8,7,0
9,7,0
10,8,0
11,8,0
12,9,0
13,10,0
14,10,0
15,11,0
16,12,0
17,13,0
18,13,0
19,13,0
20,13,0
21,14,0
22,14,0
23,15,0
24,15,0
25,16,0
26,16,0
27,17,0
28,17,0
29,17,0
30,18,0
31,19,0
32,19,0
33,19,0
34,20,1
35,20,1
36,20,1
37,20,1
38,21,1
39,21,1
40,22,1
41,23,1
42,23,1
43,24,1
44,24,1
45,24,1
46,25,1
47,25,1
48,25,1
49,25,1
50,25,1
51,25,1
52,26,1
53,26,1
54,26,1
55,27,1
56,27,1
57,27,1
58,27,1
59,27,1
60,28,1
61,28,1
62,28,1
63,28,1
64,28,1
65,28,1
66,28,1
67,29,1
68,29,1
69,29,1
70,30,1
71,30,1
72,30,1
73,30,1
74,30,1
75,31,1
76,31,1
77,31,1
78,31,1
79,31,1
80,32,1
81,33,1
82,33,1
83,33,1
84,34,1
85,34,1
86,34,1
87,34,1
88,34,1
89,34,1
90,34,1
91,34,1
92,34,1
93,34,1
94,35,1
95,36,1
96,37,1
97,37,1
98,38,1
99,39,1
100,39,2
101,39,2
102,39,2
103,39,2
104,39,2
105,39,2
106,39,2
107,39,2
108,39,2
109,39,2
110,39,2
111,40,2
112,41,2
113,42,2
114,42,2
115,42,2
116,43,2
117,43,2